symbol
SPY
BABA
PACB
NSTG
AAPL
MSFT
XOM
JNJ
AMZN
FB
GE
T
JPM
GOOGL
PG
GOOG
WFC
VZ
PFE
CVX
KO
HD
INTC
CMCSA
MRK
PEP
CSCO
PM
V
BAC
IBM
DIS
UNH
MO
AMGN
C
ORCL
BMY
MDT
WMT
SLB
MMM
ABBV
GILD
CVS
MCD
AGN
MA
CELG
QCOM
HON
UTX
SBUX
LLY
BA
UNP
UPS
COST
NKE
LOW
ACN
TXN
WBA
BIIB
USB
SPG
PCLN
LMT
CL
MDLZ
ABT
AIG
AVGO
TMO
TWX
GS
DD
DOW
NEE
DUK
CB
OXY
EMC
TJX
AXP
CRM
KHC
SO
COP
AMT
DHR
ADBE
ESRX
CAT
F
D
KMB
MON
EOG
BLK
MCK
TGT
MET
MS
GM
GD
BK
GIS
PNC
RTN
PYPL
AET
RAI
ADP
NFLX
FDX
NOC
ITW
HAL
KMI
BDX
PSX
HPE
SYK
YUM
CTSH
CME
TRV
MMC
SCHW
EMR
YHOO
PSA
COF
AEP
REGN
EXC
ANTM
PX
ICE
CI
EBAY
BSX
CCI
ECL
PRU
PCG
SPGI
KR
ALXN
BBT
AFL
ETN
NVDA
AON
JCI
APD
STZ
AMAT
PLD
DAL
INTU
FOXA
ORLY
HCN
PPG
CAH
WM
SYY
CSX
PXD
BAX
DG
ISRG
ZBH
APC
STT
SRE
NSC
HUM
ALL
EQIX
ADM
LYB
SE
PPL
VLO
VTR
AVB
ROST
VRTX
EIX
WY
ILMN
NWL
HPQ
AZO
EQR
EW
GLW
ED
NEM
STJ
EA
SHW
ZTS
FISV
DFS
LUV
SYF
DE
HCA
DLTR
PEG
MNST
TSN
XEL
FIS
BXP
MYL
CBS
MPC
STI
EL
ATVI
TEL
K
BHI
CAG
VFC
DVN
WEC
PCAR
CERN
CMI
PGR
ADI
OMC
AAL
NLSN
TYC
APA
IP
PAYX
SJM
VNO
SWK
LB
TAP
ES
APH
MTB
DPS
HCP
GGP
O
MCO
DLPH
IR
DTE
CLX
WLTW
TROW
ROP
WMB
NUE
CTL
CXO
ABC
ULTA
BCR
MJN
PH
HIG
HSY
EFX
VMC
AMP
UAL
FCX
A
DLR
GPC
VIAB
ROK
FTV
ESS
XRAY
TDG
LRCX
WHR
FITB
MU
LH
NTRS
ETR
LVLT
HES
AWK
NBL
LLTC
FE
MAR
BLL
AA
RHT
HSIC
EXPE
PRGO
MHK
HOT
BEN
KIM
ADSK
CHD
XLNX
CTXS
HST
ADS
SYMC
WAT
MLM
KEY
AEE
VRSK
DVA
WDC
SWKS
AAP
CMS
PFG
RCL
GWW
FAST
NOV
EQT
CNC
DGX
RSG
MAS
IVZ
MCHP
KLAC
CFG
XEC
FRT
SLG
LLL
CMG
RF
MKC
COH
TSCO
AYI
UHS
MRO
COG
PNR
GPN
FOX
KMX
MAT
MSI
CINF
WRK
COL
HRS
DOV
CPB
MAC
L
IFF
AME
LKQ
SCG
DHI
KSU
TXT
M
LNC
WU
EXR
CNP
CA
WFM
UDR
CHRW
HOG
HRL
FBHS
XL
EMN
HBI
HOLX
OKE
BBY
XRX
MOS
CTAS
STX
SEE
ALB
EXPD
IPG
IRM
LNT
NFX
VAR
HAS
TSO
KORS
SNA
MNK
AKAM
PNW
AJG
FFIV
LEN
XYL
CBG
TSS
AES
NDAQ
NI
VRSN
ALK
WYNN
JNPR
FL
PVH
UNM
CMA
WYN
AMG
NTAP
GT
SRCL
HBAN
FLR
KSS
TRIP
JBHT
LEG
BWA
ETFC
UA
DRI
AIV
URI
AVY
TMK
QRVO
SIG
ALLE
TIF
RRC
HP
BBBY
PHM
SWN
JEC
FMC
UA.C
GRMN
SNI
LUK
HAR
FLS
PKI
DISCK
SPLS
FTR
GPS
ZION
FTI
RL
JWN
HRB
AIZ
CF
DNB
NAVI
NWSA
RHI
PBCT
TGNA
MUR
FLIR
NRG
TDC
DISCA
PDCO
RIG
ENDP
AN
LM
PWR
CSRA
PBI
R
FSLR
OI
CHK
URBN
NWS
DO
IONS
SRPT
BMRN
BLUE
REGN
TSRO
ALKS
CELG
UTHR
ALNY
INCY
AMGN
VRTX
XON
ABBV
ICPT
MDVN
LGND
ALXN
GILD
NBIX
ACAD
KITE
SGEN
RARE
OPK
RDUS
NVAX
AMAG
PBYI
FPRX
EXEL
CPHD
MYGN
EXAS
JUNO
ARIA
AGIO
PRTA
OPHT
SAGE
PTLA
HALO
ALDR
FOLD
CLVS
ACOR
CLDX
EGRX
IRWD
DVAX
ZIOP
INO
MACK
ONCE
EBS
INSY
SGYP
HRTX
ACHN
FGEN
XLRN
LXRX
RGEN
RTRX
ENTA
MGNX
MDXG
GERN
ARRY
GHDX
PGNX
SPPI
MNTA
VNDA
IMGN
INSM
KERX
RPTP
SGMO
XNCR
EPZM
ARNA
IMMU
